# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
111104 217 0.00113985782734798
111616 218 0.00114054000319016
112128 219 0.00114127820882638
112640 220 0.00114206529989312
113152 221 0.0011429042985683
113664 222 0.00114379423815045
114176 223 0.00114472714986196
114688 224 0.00114570747396543
115200 225 0.00114673254927169
115712 226 0.00114779350011784
116224 227 0.00114889002992651
116736 228 0.00115002471850412
117248 229 0.00115119041344568
117760 230 0.00115237817426368
118272 231 0.00115359306451696
118784 232 0.00115483458899635
119296 233 0.0011560905760902
119808 234 0.00115736069047236
120320 235 0.0011586517376028
120832 236 0.00115995905454239
121344 237 0.00116127398348458
121856 238 0.00116260251766462
122368 239 0.00116394981542863
122880 240 0.00116530514812464
123392 241 0.00116666767589586
123904 242 0.00116803994428008
124416 243 0.00116941704700184
124928 244 0.00117079359232141
125440 245 0.00117216239919486
125952 246 0.00117352330932256
126464 247 0.00117487302537979
126976 248 0.00117620069383442
127488 249 0.00117750559535693
128000 250 0.00117878757622408
128512 251 0.00118003943582233
129024 252 0.0011812589505329
129536 253 0.00118244800592764
130048 254 0.0011836011647328
130560 255 0.0011847162809435
131072 256 0.00118579714278443
131584 257 0.00118683746021477
132096 258 0.00118783465196174
132608 259 0.00118879205990085
133120 260 0.00118970741728804
133632 261 0.00119057506429598
134144 262 0.00119139441676177
134656 263 0.00119217049162466
135168 264 0.00119289779182092
135680 265 0.00119356938532072
136192 266 0.00119419178088985
136704 267 0.0011947656594451
137216 268 0.00119528252097211
137728 269 0.00119574129529561
138240 270 0.0011961470120857
138752 271 0.00119649661780371
139264 272 0.00119678388753491
139776 273 0.00119701189394711
140288 274 0.00119718352043366
140800 275 0.00119729558008644
141312 276 0.00119734781957755
141824 277 0.00119734380155135
142336 278 0.00119728476119524
142848 279 0.00119717084631043
143360 280 0.00119700136737408
143872 281 0.00119677864067231
