# Scalar ASCII output created by CarpetIOScalar
# created on kop28.datura.admin by hoppese on Aug 01 2013 at 18:36:36+0200
# parameter filename: "/lustre/datura/hoppese/simulations/bbhCart2-AEI_Gauss/output-0000/bbhCart2-AEI_Gauss.par"
# Build ID: build-sim-datura-hoppese-2013.08.01-16.22.29-21953
# Simulation ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
# Run ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
36608 51.48 6639 3 -289 0 0 22 -1424 1135 4 12
36864 51.84 6639 3 -289 0 0 22 -1424 1135 4 12
37120 52.2 6639 3 -289 0 0 22 -1448 1159 4 12
37376 52.56 6639 3 -289 0 0 22 -1457 1167 4 12
37632 52.92 6639 3 -289 0 0 22 -1457 1167 4 12
37888 53.28 6639 3 -289 0 0 22 -1430 1156 4 12
38144 53.64 6639 3 -289 0 0 22 -1418 1145 4 12
38400 54 6639 3 -185 0 0 22 -1397 1229 4 12
38656 54.36 6639 3 -62 0 0 22 -1356 1293 4 12
38912 54.72 6639 3 -62 0 0 22 -1345 1282 4 12
39168 55.08 6639 3 -62 0 0 22 -977 1875 4 12
39424 55.44 6639 3 -62 0 0 22 -977 1872 4 12
39680 55.8 6639 3 -62 0 0 22 -960 1850 4 12
39936 56.16 6639 3 -62 0 0 22 -951 1838 4 12
40192 56.52 6639 3 -62 0 0 22 -979 1840 4 12
40448 56.88 6639 3 -62 0 0 22 -955 1813 4 12
40704 57.24 6639 3 -62 0 0 22 -947 1800 4 12
40960 57.6 6639 3 -62 0 0 22 -947 1796 4 12
41216 57.96 6639 3 -62 0 0 22 -961 1797 4 12
41472 58.32 6639 3 -62 0 0 22 -971 1792 4 12
41728 58.68 6639 3 -62 0 0 22 -973 1781 4 12
41984 59.04 6639 3 -62 0 0 22 1816 -914 4 12
42240 59.4 6769 3 -62 0 0 151 1838 -807 4 12
42496 59.76 6685 3 -62 0 0 67 1851 -891 4 12
42752 60.12 6639 3 -62 0 0 22 1848 -909 4 12
43008 60.48 6639 3 -62 0 0 22 1867 -906 4 12
43264 60.84 6639 3 -62 0 0 22 1870 -906 4 12
43520 61.2 6639 3 -62 0 0 22 1892 -884 4 12
43776 61.56 6639 3 -62 0 0 22 1902 -874 4 12
44032 61.92 6639 3 -62 0 0 22 1926 -853 4 12
44288 62.28 6639 3 -62 0 0 22 1937 -843 4 12
44544 62.64 6639 3 -62 0 0 22 1955 -804 4 12
44800 63 6639 3 -62 0 0 22 1972 -802 4 12
45056 63.36 6639 3 -62 0 0 22 1986 2047 4 12
45312 63.72 6639 3 -62 0 0 22 2008 2025 4 12
45568 64.08 6639 3 -62 0 0 22 2025 2007 4 12
45824 64.44 6639 3 -62 0 0 22 -855 1985 4 12
46080 64.8 6639 3 -62 0 0 22 -899 1983 4 12
46336 65.16 6639 3 -62 0 0 22 -922 1972 4 12
46592 65.52 6639 3 -62 0 0 22 -918 1929 4 12
46848 65.88 6639 3 -62 0 0 22 -955 1924 4 12
47104 66.24 6639 3 -62 0 0 22 -957 1898 4 12
47360 66.6 6718 3 -62 0 0 100 -889 1827 4 12
47616 66.96 6639 3 -62 0 0 22 -864 1839 4 12
47872 67.32 6639 3 -62 0 0 22 -899 1835 4 12
48128 67.68 6639 3 -62 0 0 22 -936 1839 4 12
48384 68.04 6639 3 -62 0 0 22 -971 1817 4 12
48640 68.4 6639 3 -62 0 0 22 -1032 1797 4 12
48896 68.76 6639 3 -62 0 0 22 -1056 1743 4 12
49152 69.12 6639 3 -62 0 0 22 -1090 1712 4 12
49408 69.48 6639 3 -62 0 0 22 -1159 1699 4 12
49664 69.84 6639 3 -62 0 0 22 -1204 1662 4 12
49920 70.2 6639 3 -62 0 0 22 -1225 1631 4 12
50176 70.56 6639 3 -62 0 0 22 -1287 1611 4 12
50432 70.92 6639 3 -62 0 0 22 -1350 1448 4 12
50688 71.28 6639 3 -62 0 0 22 -1377 1440 4 12
50944 71.64 6639 3 -62 0 0 22 -1446 1458 4 12
51200 72 6639 3 -62 0 0 22 -1490 1450 4 12
51456 72.36 6639 3 -62 0 0 22 -1511 1449 4 12
51712 72.72 6639 3 -62 0 0 22 -1514 1457 4 12
51968 73.08 6639 3 -62 0 0 22 -1460 1455 4 12
52224 73.44 6639 3 -62 0 0 22 -1425 1471 4 12
52480 73.8 6639 3 -62 0 0 22 -1394 1474 4 12
52736 74.16 6639 3 -62 0 0 22 -1315 1621 4 12
52992 74.52 6639 3 -62 0 0 22 -1281 1652 4 12
53248 74.88 6639 3 -62 0 0 22 -1236 1686 4 12
53504 75.24 6639 3 -62 0 0 22 -1175 1717 4 12
53760 75.6 6639 3 -62 0 0 22 -1161 1755 4 12
54016 75.96 6639 3 -62 0 0 22 -1095 1781 4 12
54272 76.32 6639 3 -62 0 0 22 -1075 1811 4 12
54528 76.68 6639 3 -62 0 0 22 -1041 1866 4 12
54784 77.04 6639 3 -62 0 0 22 -991 1881 4 12
55040 77.4 6639 3 -62 0 0 22 -963 1906 4 12
